"Municípios","UF","Número de Internações","População","Taxa a cada 100 mil hab."
"Cacimbinhas (AL)","AL","4","10.210","39,2"
"São Domingos do Araguaia (PA)","PA","9","22.974","39,2"
"Itapejara d'Oeste (PR)","PR","4","10.212","39,2"
"Rincão (SP)","SP","4","10.218","39,1"
"Patos (PB)","PB","39","99.635","39,1"
"Anamã (AM)","AM","4","10.219","39,1"
"Jardim de Angicos (RN)","RN","1","2.557","39,1"
"Curral de Cima (PB)","PB","2","5.117","39,1"
"Cristalândia do Piauí (PI)","PI","3","7.710","38,9"
"Itaguaçu da Bahia (BA)","BA","5","12.860","38,9"
"Manoel Ribas (PR)","PR","5","12.879","38,8"
"Itapebi (BA)","BA","4","10.316","38,8"
"Peixe-Boi (PA)","PA","3","7.742","38,7"
"Monte Sião (MG)","MG","8","20.665","38,7"
"São José do Rio Preto (SP)","SP","155","400.417","38,7"
"Camamu (BA)","BA","13","33.596","38,7"
"Balneário Pinhal (RS)","RS","4","10.353","38,6"
"Luzinópolis (TO)","TO","1","2.589","38,6"
"Minador do Negrão (AL)","AL","2","5.181","38,6"
"Contenda (PR)","PR","6","15.544","38,6"
"Sarandi (PR)","PR","32","83.041","38,5"
"Maragogi (AL)","AL","11","28.589","38,5"
"São Sebastião do Maranhão (MG)","MG","4","10.397","38,5"
"Jarinu (SP)","SP","9","23.418","38,4"
"Ubarana (SP)","SP","2","5.207","38,4"
"Arroio do Padre (RS)","RS","1","2.605","38,4"
"Brasileira (PI)","PI","3","7.824","38,3"
"Oriximiná (PA)","PA","24","62.654","38,3"
"Quevedos (RS)","RS","1","2.611","38,3"
"São José dos Campos (SP)","SP","237","619.689","38,2"
"Bento de Abreu (SP)","SP","1","2.616","38,2"
"Itabirinha (MG)","MG","4","10.470","38,2"
"Dobrada (SP)","SP","3","7.866","38,1"
"Tucuruí (PA)","PA","37","97.120","38,1"
"Branquinha (AL)","AL","4","10.502","38,1"
"Nova Olinda (TO)","TO","4","10.506","38,1"
"Bertolínia (PI)","PI","2","5.256","38,1"
"Carmo do Paranaíba (MG)","MG","11","28.909","38,1"
"Águas de São Pedro (SP)","SP","1","2.629","38,0"
"Feira Nova (SE)","SE","2","5.263","38,0"
"Tomar do Geru (SE)","SE","5","13.161","38,0"
"Siriri (SE)","SE","3","7.901","38,0"
"Tio Hugo (RS)","RS","1","2.635","38,0"
"Moraújo (CE)","CE","3","7.916","37,9"
"Bodoquena (MS)","MS","3","7.916","37,9"
"Joanésia (MG)","MG","2","5.292","37,8"
"Lagoa da Prata (MG)","MG","17","45.057","37,7"
"Mormaço (RS)","RS","1","2.651","37,7"
"Mato Grosso (PB)","PB","1","2.655","37,7"
"Lagoa de Velhos (RN)","RN","1","2.656","37,7"
"Alto Parnaíba (MA)","MA","4","10.627","37,6"
"Cachoeira de Minas (MG)","MG","4","10.636","37,6"
"Coromandel (MG)","MG","10","26.632","37,5"
"Nova Monte Verde (MT)","MT","3","7.990","37,5"
"Bauru (SP)","SP","127","338.253","37,5"
"Vista Gaúcha (RS)","RS","1","2.666","37,5"
"Cristinápolis (SE)","SE","6","16.000","37,5"
"Corbélia (PR)","PR","6","16.014","37,5"
"Condado (PE)","PE","9","24.029","37,5"
"Itupiranga (PA)","PA","19","50.774","37,4"
"Ibirá (SP)","SP","4","10.694","37,4"
"Acará (PA)","PA","20","53.492","37,4"
"Dumont (SP)","SP","3","8.029","37,4"
"Bom Jesus do Amparo (MG)","MG","2","5.353","37,4"
"Votorantim (SP)","SP","40","107.100","37,3"
"Embu das Artes (SP)","SP","89","238.594","37,3"
"Celso Ramos (SC)","SC","1","2.681","37,3"
"Urucuia (MG)","MG","5","13.425","37,2"
"Campo Grande (MS)","MS","288","773.592","37,2"
"Monte Mor (SP)","SP","18","48.360","37,2"
"Rubiácea (SP)","SP","1","2.687","37,2"
"Juquiá (SP)","SP","7","18.814","37,2"
"Riacho dos Cavalos (PB)","PB","3","8.068","37,2"
"Águas Mornas (SC)","SC","2","5.388","37,1"
"Candeias (BA)","BA","30","80.836","37,1"
"Moita Bonita (SE)","SE","4","10.782","37,1"
"Santa Bárbara do Monte Verde (MG)","MG","1","2.696","37,1"
"Gado Bravo (PB)","PB","3","8.089","37,1"
"Senador Salgado Filho (RS)","RS","1","2.698","37,1"
"Maranguape (CE)","CE","42","113.377","37,0"
"Lambari D'Oeste (MT)","MT","2","5.407","37,0"
"Maripá de Minas (MG)","MG","1","2.704","37,0"
"Santana (AP)","AP","38","102.848","36,9"
"Porto do Mangue (RN)","RN","2","5.418","36,9"
"Castelo do Piauí (PI)","PI","7","18.981","36,9"
"Matinha (MA)","MA","8","21.706","36,9"
"Joinville (SC)","SC","186","504.703","36,9"
"Dois Irmãos (RS)","RS","10","27.138","36,8"
"Carambeí (PR)","PR","7","18.997","36,8"
"Campinorte (GO)","GO","4","10.863","36,8"
"Biguaçu (SC)","SC","21","57.036","36,8"
"Itaguaí (RJ)","RJ","41","111.404","36,8"
"Alfredo Chaves (ES)","ES","5","13.589","36,8"
"São Pedro do Suaçuí (MG)","MG","2","5.436","36,8"
"Carapicuíba (SP)","SP","134","365.753","36,6"
"Mirangaba (BA)","BA","6","16.386","36,6"
"Guarujá (SP)","SP","105","287.687","36,5"
"Feira da Mata (BA)","BA","2","5.481","36,5"
"Pardinho (SP)","SP","2","5.485","36,5"
"Senador Elói de Souza (RN)","RN","2","5.486","36,5"
"Chupinguaia (RO)","RO","3","8.231","36,4"
"Florínea (SP)","SP","1","2.746","36,4"
"Ouroeste (SP)","SP","3","8.239","36,4"
"São Sebastião do Paraíso (MG)","MG","23","63.173","36,4"
"Ipanguaçu (RN)","RN","5","13.743","36,4"
"Santa Ernestina (SP)","SP","2","5.499","36,4"
"Alvorada (TO)","TO","3","8.257","36,3"
"São José do Goiabal (MG)","MG","2","5.506","36,3"
"Novo Itacolomi (PR)","PR","1","2.753","36,3"
"Florestópolis (PR)","PR","4","11.014","36,3"
"Breu Branco (PA)","PA","19","52.341","36,3"
"São Domingos (PB)","PB","1","2.755","36,3"
"Matina (BA)","BA","4","11.031","36,3"
"Pontalina (GO)","GO","6","16.563","36,2"
"Irauçuba (CE)","CE","8","22.096","36,2"
"Porto Alegre do Tocantins (TO)","TO","1","2.762","36,2"
"Verdelândia (MG)","MG","3","8.288","36,2"
"Anajás (PA)","PA","9","24.878","36,2"
"Casca (RS)","RS","3","8.293","36,2"
"Entre Rios de Minas (MG)","MG","5","13.858","36,1"
"Japaratuba (SE)","SE","6","16.631","36,1"
"Aliança do Tocantins (TO)","TO","2","5.548","36,0"
"Itapevi (SP)","SP","72","200.004","36,0"
"Caldeirão Grande do Piauí (PI)","PI","2","5.557","36,0"
"São José da Lapa (MG)","MG","7","19.453","36,0"
"Caratinga (MG)","MG","30","83.401","36,0"
"Umbaúba (SE)","SE","8","22.249","36,0"
"Perobal (PR)","PR","2","5.566","35,9"
"Prata (MG)","MG","9","25.066","35,9"
"São Caetano de Odivelas (PA)","PA","6","16.711","35,9"
"Pedra Bela (SP)","SP","2","5.571","35,9"
"Fortaleza (CE)","CE","874","2.434.671","35,9"
"Tefé (AM)","AM","22","61.361","35,9"
"Feira de Santana (BA)","BA","198","552.277","35,9"
"Papagaios (MG)","MG","5","13.948","35,8"
"Ibicuitinga (CE)","CE","4","11.165","35,8"
"Teixeira (PB)","PB","5","13.959","35,8"
"Guaramiranga (CE)","CE","2","5.584","35,8"
"Bandeirante (SC)","SC","1","2.794","35,8"
"Tavares (PB)","PB","5","13.988","35,7"
"Quiterianópolis (CE)","CE","7","19.604","35,7"
"Cordisburgo (MG)","MG","3","8.403","35,7"
"Xexéu (PE)","PE","5","14.011","35,7"
"Marechal Floriano (ES)","ES","5","14.012","35,7"
"Jacareacanga (PA)","PA","5","14.041","35,6"
"Imaculada (PB)","PB","4","11.244","35,6"
"Malta (PB)","PB","2","5.623","35,6"
"Três Forquilhas (RS)","RS","1","2.812","35,6"
"São Sebastião do Oeste (MG)","MG","2","5.628","35,5"
"São Gonçalo do Gurguéia (PI)","PI","1","2.815","35,5"
"São João da Fronteira (PI)","PI","2","5.633","35,5"
"São Sebastião do Anta (MG)","MG","2","5.638","35,5"
"Tanhaçu (BA)","BA","7","19.753","35,4"
"Trairi (CE)","CE","18","50.875","35,4"
"Poção de Pedras (MA)","MA","7","19.791","35,4"
"Itaitinga (CE)","CE","12","33.929","35,4"
"Itanhaém (SP)","SP","30","84.866","35,3"
"Porto Grande (AP)","AP","6","16.980","35,3"
"Osasco (SP)","SP","233","659.441","35,3"
"Axixá (MA)","MA","4","11.330","35,3"
"Uberaba (MG)","MG","102","288.991","35,3"
"São João do Soter (MA)","MA","6","17.000","35,3"
"Sorocaba (SP)","SP","204","578.396","35,3"
"Tucunduva (RS)","RS","2","5.673","35,3"
"Albertina (MG)","MG","1","2.837","35,2"
"Mossoró (RN)","RN","91","258.175","35,2"
"Pracinha (SP)","SP","1","2.839","35,2"
"Dom Basílio (BA)","BA","4","11.361","35,2"
"Cristianópolis (GO)","GO","1","2.844","35,2"
"Jardinópolis (SP)","SP","13","37.013","35,1"
"Aracati (CE)","CE","24","68.332","35,1"
"Banabuiú (CE)","CE","6","17.087","35,1"
"Cristália (MG)","MG","2","5.705","35,1"
"Itajaí (SC)","SC","63","179.897","35,0"
"Carauari (AM)","AM","9","25.722","35,0"
"Jaqueira (PE)","PE","4","11.447","34,9"
"Várzea Paulista (SP)","SP","37","105.905","34,9"
"Ubaí (MG)","MG","4","11.459","34,9"
"Santa Maria (RS)","RS","89","255.309","34,9"
"Nova Aliança (SP)","SP","2","5.745","34,8"
"Ilha Comprida (SP)","SP","3","8.624","34,8"
"Ubatuba (SP)","SP","27","77.648","34,8"
"Olímpia (SP)","SP","17","48.922","34,7"
"Presidente Dutra (BA)","BA","5","14.416","34,7"
"Paraíso (SP)","SP","2","5.775","34,6"
"Glaucilândia (MG)","MG","1","2.889","34,6"
"Guaramirim (SC)","SC","12","34.709","34,6"
"Capim Branco (MG)","MG","3","8.691","34,5"
"Presidente Getúlio (SC)","SC","5","14.494","34,5"
"General Maynard (SE)","SE","1","2.899","34,5"
"Lucena (PB)","PB","4","11.598","34,5"
"Passo do Sobrado (RS)","RS","2","5.800","34,5"
"Presidente Kubitschek (MG)","MG","1","2.902","34,5"
"Paulista (PB)","PB","4","11.612","34,4"
"Itapetininga (SP)","SP","49","142.377","34,4"
"Duque de Caxias (RJ)","RJ","289","840.316","34,4"
"Portel (PA)","PA","18","52.363","34,4"
"Cosmópolis (SP)","SP","20","58.205","34,4"
"Massapê (CE)","CE","12","34.940","34,3"
"Santa Maria do Herval (RS)","RS","2","5.831","34,3"
"Lontra (MG)","MG","3","8.765","34,2"
"Rio de Janeiro (RJ)","RJ","2.111","6.169.183","34,2"
"Novo Airão (AM)","AM","5","14.619","34,2"
"Buritirana (MA)","MA","5","14.619","34,2"
"João Costa (PI)","PI","1","2.924","34,2"
"Telha (SE)","SE","1","2.925","34,2"
"Pinhão (SE)","SE","2","5.855","34,2"
"Ivatuba (PR)","PR","1","2.928","34,2"
"Santo Afonso (MT)","MT","1","2.929","34,1"
"Taipu (RN)","RN","4","11.719","34,1"
"Ferreira Gomes (AP)","AP","2","5.862","34,1"
"Santa Luzia do Paruá (MA)","MA","8","23.470","34,1"
"Bela Vista do Toldo (SC)","SC","2","5.869","34,1"
"Sebastianópolis do Sul (SP)","SP","1","2.938","34,0"
"Rodrigues Alves (AC)","AC","5","14.696","34,0"
"Mineiros do Tietê (SP)","SP","4","11.798","33,9"
"São José da Vitória (BA)","BA","2","5.908","33,9"
"Porto Rico do Maranhão (MA)","MA","2","5.911","33,8"
"Progresso (RS)","RS","2","5.922","33,8"
"Itupeva (SP)","SP","15","44.434","33,8"
"Enéas Marques (PR)","PR","2","5.927","33,7"
"Capixaba (AC)","AC","3","8.892","33,7"
"São Roque (SP)","SP","26","77.192","33,7"
"São Bernardo do Campo (SP)","SP","254","754.220","33,7"
"Petrolândia (SC)","SC","2","5.939","33,7"
"Jaicós (PI)","PI","6","17.836","33,6"
"Rio das Antas (SC)","SC","2","5.946","33,6"
"Alfredo Vasconcelos (MG)","MG","2","5.950","33,6"
"Parauapebas (PA)","PA","52","154.753","33,6"
"Cajazeirinhas (PB)","PB","1","2.977","33,6"
"Pinheiro (MA)","MA","26","77.452","33,6"
"Entre Rios (SC)","SC","1","2.979","33,6"
"Oriente (SP)","SP","2","5.960","33,6"
"Itumirim (MG)","MG","2","5.964","33,5"
"Orós (CE)","CE","7","20.895","33,5"
"Pau D'Arco (PA)","PA","2","5.974","33,5"
"Indaial (SC)","SC","18","53.790","33,5"
"Rorainópolis (RR)","RR","8","23.919","33,4"
"Onça de Pitangui (MG)","MG","1","2.991","33,4"
"Janaúba (MG)","MG","22","65.816","33,4"
"Bacabal (MA)","MA","33","98.753","33,4"
"São José de Caiana (PB)","PB","2","5.990","33,4"
"Arandu (SP)","SP","2","5.995","33,4"
"Vertentes (PE)","PE","6","17.999","33,3"
"Vale de São Domingos (MT)","MT","1","3.002","33,3"
"Andradas (MG)","MG","12","36.154","33,2"
"Paula Cândido (MG)","MG","3","9.051","33,1"
"Nova Iguaçu (RJ)","RJ","255","771.017","33,1"
"Graça Aranha (MA)","MA","2","6.063","33,0"
"São Luís do Curu (CE)","CE","4","12.136","33,0"
"Tarauacá (AC)","AC","12","36.409","33,0"
"Ribeirão Preto (SP)","SP","196","595.051","32,9"
"São Domingos (SC)","SC","3","9.111","32,9"
"Itu (SP)","SP","50","151.957","32,9"
"Paripiranga (BA)","BA","9","27.373","32,9"
"Prata do Piauí (PI)","PI","1","3.042","32,9"
"Manfrinópolis (PR)","PR","1","3.044","32,9"
"Barra do Ribeiro (RS)","RS","4","12.178","32,8"
"Vila Velha (ES)","ES","134","408.178","32,8"
"Cuité de Mamanguape (PB)","PB","2","6.100","32,8"
"São Martinho da Serra (RS)","RS","1","3.054","32,7"
"Glória D'Oeste (MT)","MT","1","3.057","32,7"
"Carneirinho (MG)","MG","3","9.174","32,7"
"Itariri (SP)","SP","5","15.291","32,7"
"Massapê do Piauí (PI)","PI","2","6.122","32,7"
"São Miguel do Gostoso (RN)","RN","3","9.204","32,6"
"Araçatuba (SP)","SP","58","177.988","32,6"
"Tailândia (PA)","PA","26","79.791","32,6"
"Almadina (BA)","BA","2","6.140","32,6"
"Lagoa d'Anta (RN)","RN","2","6.175","32,4"
"Leandro Ferreira (MG)","MG","1","3.093","32,3"
"São Miguel Arcanjo (SP)","SP","10","30.963","32,3"
"Ipojuca (PE)","PE","26","80.506","32,3"
"Paulicéia (SP)","SP","2","6.204","32,2"
"Maurilândia do Tocantins (TO)","TO","1","3.107","32,2"
"Jeriquara (SP)","SP","1","3.110","32,2"
"Santa Rosa da Serra (MG)","MG","1","3.111","32,1"
"Fazenda Rio Grande (PR)","PR","26","80.886","32,1"
"Sossêgo (PB)","PB","1","3.113","32,1"
"Catanduvas (SC)","SC","3","9.347","32,1"
"Elias Fausto (SP)","SP","5","15.580","32,1"
"Araguaiana (MT)","MT","1","3.126","32,0"
"Cachoeira dos Índios (PB)","PB","3","9.385","32,0"
"Aratiba (RS)","RS","2","6.271","31,9"
"Barão de Cotegipe (RS)","RS","2","6.273","31,9"
"Guarantã (SP)","SP","2","6.278","31,9"
"Vitória (ES)","ES","100","313.929","31,9"
"Riacho da Cruz (RN)","RN","1","3.140","31,8"
"Porto Walter (AC)","AC","3","9.430","31,8"
"Vitória do Jari (AP)","AP","4","12.606","31,7"
"Santo Hipólito (MG)","MG","1","3.154","31,7"
"Catolé do Rocha (PB)","PB","9","28.434","31,7"
"São Francisco de Paula (MG)","MG","2","6.330","31,6"
"Cariacica (ES)","ES","109","345.056","31,6"
"Borba (AM)","AM","11","34.844","31,6"
"Bom Sucesso do Sul (PR)","PR","1","3.171","31,5"
"Serra Alta (SC)","SC","1","3.176","31,5"
"Serra da Raiz (PB)","PB","1","3.177","31,5"
"Nova Santa Rita (RS)","RS","7","22.240","31,5"
"Umbuzeiro (PB)","PB","3","9.534","31,5"
"Ibaretama (CE)","CE","4","12.720","31,4"
"Boa Ventura de São Roque (PR)","PR","2","6.362","31,4"
"Aiuaba (CE)","CE","5","15.925","31,4"
"Laguna Carapã (MS)","MS","2","6.372","31,4"
"Amapá do Maranhão (MA)","MA","2","6.382","31,3"
"Pouso Alegre (MG)","MG","40","127.643","31,3"
"Campina Grande do Sul (PR)","PR","12","38.300","31,3"
"Guariba (SP)","SP","11","35.165","31,3"
"Natalândia (MG)","MG","1","3.203","31,2"
"Milton Brandão (PI)","PI","2","6.418","31,2"
"Nossa Senhora da Glória (SE)","SE","10","32.146","31,1"
"Rio Quente (GO)","GO","1","3.218","31,1"
"Itatiaiuçu (MG)","MG","3","9.658","31,1"
"Niterói (RJ)","RJ","147","473.558","31,0"
"São José dos Ausentes (RS)","RS","1","3.222","31,0"
"Traipu (AL)","AL","8","25.810","31,0"
"Governador Valadares (MG)","MG","80","258.970","30,9"
"Belém do Piauí (PI)","PI","1","3.238","30,9"
"Mário Campos (MG)","MG","4","12.971","30,8"
"Suzano (SP)","SP","80","259.429","30,8"
"Maraú (BA)","BA","6","19.459","30,8"
"Maués (AM)","AM","16","51.900","30,8"
"Nova Alvorada do Sul (MS)","MS","5","16.227","30,8"
"Maruim (SE)","SE","5","16.228","30,8"
"Uruburetama (CE)","CE","6","19.537","30,7"
"Quijingue (BA)","BA","8","26.075","30,7"
"São Cristóvão (SE)","SE","24","78.234","30,7"
"Carnaubal (CE)","CE","5","16.313","30,7"
"Cristópolis (BA)","BA","4","13.068","30,6"
"Ourizona (PR)","PR","1","3.268","30,6"
"Leoberto Leal (SC)","SC","1","3.268","30,6"
"Porteirão (GO)","GO","1","3.272","30,6"
"Sapopema (PR)","PR","2","6.557","30,5"
"Dirceu Arcoverde (PI)","PI","2","6.559","30,5"
"Belford Roxo (RJ)","RJ","144","472.689","30,5"
"Padre Marcos (PI)","PI","2","6.580","30,4"
"Cajazeiras do Piauí (PI)","PI","1","3.291","30,4"
"Balneário Camboriú (SC)","SC","32","105.402","30,4"
"Iracemápolis (SP)","SP","6","19.796","30,3"
"Morro do Pilar (MG)","MG","1","3.303","30,3"
"Catuji (MG)","MG","2","6.609","30,3"
"Caxias do Sul (RS)","RS","129","426.869","30,2"
"Encantado (RS)","RS","6","19.880","30,2"
"Pedro de Toledo (SP)","SP","3","9.940","30,2"
"Carlópolis (PR)","PR","4","13.270","30,1"
"Jaguaruna (SC)","SC","5","16.602","30,1"
"Jundiaí do Sul (PR)","PR","1","3.321","30,1"
"Breves (PA)","PA","28","93.049","30,1"
"Medeiros (MG)","MG","1","3.325","30,1"
"Caçapava (SP)","SP","25","83.197","30,0"
"Americana (SP)","SP","62","206.358","30,0"
"Itatiba (SP)","SP","30","99.862","30,0"
"Pé de Serra (BA)","BA","4","13.315","30,0"
"Manicoré (AM)","AM","14","46.711","30,0"
"Paulo Frontin (PR)","PR","2","6.673","30,0"
"Triunfo Potiguar (RN)","RN","1","3.339","29,9"
"Pedra do Anta (MG)","MG","1","3.343","29,9"
"São Simão (GO)","GO","5","16.749","29,9"
"Trairão (PA)","PA","5","16.758","29,8"
"Boa Esperança do Sul (SP)","SP","4","13.414","29,8"
"Araucária (PR)","PR","35","117.486","29,8"
"Divinópolis (MG)","MG","62","208.164","29,8"
"Carmópolis (SE)","SE","4","13.451","29,7"
"Novo Oriente de Minas (MG)","MG","3","10.095","29,7"
"Paulista (PE)","PE","88","296.167","29,7"
"São Domingos (SE)","SE","3","10.097","29,7"
"Senador Sá (CE)","CE","2","6.747","29,6"
"General Carneiro (PR)","PR","4","13.495","29,6"
"São Francisco do Brejão (MA)","MA","3","10.125","29,6"
"Humaitá (AM)","AM","13","43.878","29,6"
"Martinópole (CE)","CE","3","10.138","29,6"
"Piracuruca (PI)","PI","8","27.046","29,6"
"Caracol (PI)","PI","3","10.148","29,6"
"Salvador (BA)","BA","781","2.642.213","29,6"
"Cassilândia (MS)","MS","6","20.326","29,5"
"Alto Paraíso de Goiás (GO)","GO","2","6.783","29,5"
"Palmeirais (PI)","PI","4","13.569","29,5"
"Itapetim (PE)","PE","4","13.573","29,5"
"Peri Mirim (MA)","MA","4","13.587","29,4"
"Farol (PR)","PR","1","3.397","29,4"
"Urucará (AM)","AM","5","16.990","29,4"
"Guatapará (SP)","SP","2","6.801","29,4"
"Granito (PE)","PE","2","6.805","29,4"
"Olho d'Água (PB)","PB","2","6.807","29,4"
"Pareci Novo (RS)","RS","1","3.404","29,4"
"Pilões (RN)","RN","1","3.405","29,4"
"Estrela de Alagoas (AL)","AL","5","17.032","29,4"
"Capetinga (MG)","MG","2","6.821","29,3"
"Várzea Alegre (CE)","CE","11","37.565","29,3"
"Jandaíra (BA)","BA","3","10.257","29,2"
"Cacimba de Areia (PB)","PB","1","3.425","29,2"
"Santa Luzia do Norte (AL)","AL","2","6.856","29,2"
"Presidente Vargas (MA)","MA","3","10.289","29,2"
"Sumaré (SP)","SP","69","236.803","29,1"
"União dos Palmares (AL)","AL","18","61.951","29,1"
"São Valentim (RS)","RS","1","3.442","29,1"
"Madre de Deus (BA)","BA","5","17.225","29,0"
"Itajá (RN)","RN","2","6.898","29,0"
"Campo Novo do Parecis (MT)","MT","8","27.600","29,0"
"Igarapé Grande (MA)","MA","3","10.356","29,0"
"Major Sales (RN)","RN","1","3.457","28,9"
"Brodowski (SP)","SP","6","20.775","28,9"
"Itapiratins (TO)","TO","1","3.463","28,9"
"São Domingos do Azeitão (MA)","MA","2","6.927","28,9"
"Santa Bárbara d'Oeste (SP)","SP","51","176.744","28,9"
"Araraquara (SP)","SP","59","204.517","28,8"
"Periquito (MG)","MG","2","6.934","28,8"
"Santana de Cataguases (MG)","MG","1","3.468","28,8"
"Lagoa Grande do Maranhão (MA)","MA","3","10.428","28,8"
"Vista Serrana (PB)","PB","1","3.480","28,7"
"Pedra Grande (RN)","RN","1","3.483","28,7"
"Chapadão do Céu (GO)","GO","2","6.977","28,7"
"Jaguaré (ES)","ES","7","24.443","28,6"
"Monte Alegre do Sul (SP)","SP","2","6.992","28,6"
"Porto Seguro (BA)","BA","36","126.039","28,6"
"Guapiaçu (SP)","SP","5","17.512","28,6"
"Rodeio (SC)","SC","3","10.513","28,5"
"Itabaianinha (SE)","SE","11","38.557","28,5"
"Santa Inês (PB)","PB","1","3.507","28,5"
"Alpercata (MG)","MG","2","7.018","28,5"
"Baixa Grande do Ribeiro (PI)","PI","3","10.531","28,5"
"Coronel Domingos Soares (PR)","PR","2","7.023","28,5"
"Afuá (PA)","PA","10","35.134","28,5"
"Itagimirim (BA)","BA","2","7.032","28,4"
"Sinop (MT)","MT","32","112.606","28,4"
"Campinaçu (GO)","GO","1","3.521","28,4"
"Jundiá (RN)","RN","1","3.531","28,3"
"Conselheiro Mairinck (PR)","PR","1","3.534","28,3"
"Chorrochó (BA)","BA","3","10.604","28,3"
"Varjão (GO)","GO","1","3.536","28,3"
"Autazes (AM)","AM","9","31.901","28,2"
"Bocaina (SP)","SP","3","10.660","28,1"
"Santa Isabel (GO)","GO","1","3.557","28,1"
"Pedras de Maria da Cruz (MG)","MG","3","10.685","28,1"
"Forquilha (CE)","CE","6","21.378","28,1"
"Rondolândia (MT)","MT","1","3.568","28,0"
"Campo Azul (MG)","MG","1","3.569","28,0"
"Baliza (GO)","GO","1","3.572","28,0"
"Pastos Bons (MA)","MA","5","17.860","28,0"
"Massaranduba (SC)","SC","4","14.320","27,9"
"Matinhos (PR)","PR","8","28.659","27,9"
"Alhandra (PB)","PB","5","17.926","27,9"
"Inácio Martins (PR)","PR","3","10.756","27,9"
"Santo Inácio do Piauí (PI)","PI","1","3.588","27,9"
"Ponte Serrada (SC)","SC","3","10.774","27,8"
"Luiziana (PR)","PR","2","7.190","27,8"
"Boquim (SE)","SE","7","25.171","27,8"
"Pavussu (PI)","PI","1","3.597","27,8"
"Dois Riachos (AL)","AL","3","10.826","27,7"
"Juruá (AM)","AM","3","10.836","27,7"
"Lajedão (BA)","BA","1","3.614","27,7"
"Dona Emma (SC)","SC","1","3.614","27,7"
"Piracicaba (SP)","SP","99","357.884","27,7"
"São José da Coroa Grande (PE)","PE","5","18.076","27,7"
"Pacajus (CE)","CE","17","61.473","27,7"
"Unaí (MG)","MG","21","75.979","27,6"
"São João do Arraial (PI)","PI","2","7.240","27,6"
"Reginópolis (SP)","SP","2","7.240","27,6"
"Santarém (PA)","PA","77","279.009","27,6"
"Brejo Grande do Araguaia (PA)","PA","2","7.247","27,6"
"Cordilheira Alta (SC)","SC","1","3.628","27,6"
"Antônio Carlos (SC)","SC","2","7.258","27,6"
"Pereiras (SP)","SP","2","7.259","27,6"
"Rio Grande da Serra (SP)","SP","12","43.594","27,5"
"Bias Fortes (MG)","MG","1","3.633","27,5"
"Paragominas (PA)","PA","27","98.102","27,5"
"Artur Nogueira (SP)","SP","12","43.628","27,5"
"Olivença (AL)","AL","3","10.963","27,4"
"Barcelos (AM)","AM","7","25.587","27,4"
"Marechal Thaumaturgo (AC)","AC","4","14.631","27,3"
"Piên (PR)","PR","3","11.001","27,3"
"São José da Lagoa Tapada (PB)","PB","2","7.345","27,2"
"Santa Maria do Oeste (PR)","PR","3","11.018","27,2"
"Ewbank da Câmara (MG)","MG","1","3.673","27,2"
"Nova Rosalândia (TO)","TO","1","3.674","27,2"
"Lizarda (TO)","TO","1","3.675","27,2"
"São José de Ribamar (MA)","MA","44","161.716","27,2"
"Araçu (GO)","GO","1","3.683","27,2"
"Balbinos (SP)","SP","1","3.687","27,1"
"São Gonçalo do Abaeté (MG)","MG","2","7.382","27,1"
"Serra Azul (SP)","SP","3","11.078","27,1"
"Umirim (CE)","CE","5","18.515","27,0"
"Cotriguaçu (MT)","MT","4","14.820","27,0"
"Novo Triunfo (BA)","BA","4","14.822","27,0"
"São José dos Basílios (MA)","MA","2","7.412","27,0"
"Novo Acordo (TO)","TO","1","3.707","27,0"
"Marilândia (ES)","ES","3","11.137","26,9"
"Figueirópolis D'Oeste (MT)","MT","1","3.714","26,9"
"Palmeirândia (MA)","MA","5","18.577","26,9"
"Humberto de Campos (MA)","MA","7","26.015","26,9"
"Barra do Garças (MT)","MT","15","55.747","26,9"
"Tabuleiro do Norte (CE)","CE","8","29.744","26,9"
"Novo Machado (RS)","RS","1","3.719","26,9"
"Álvares Florence (SP)","SP","1","3.722","26,9"
"Goianinha (RN)","RN","6","22.355","26,8"
"Boa Vista do Ramos (AM)","AM","4","14.908","26,8"
"Pontão (RS)","RS","1","3.736","26,8"
"Santo Antônio do Aracanguá (SP)","SP","2","7.482","26,7"
"Gararu (SE)","SE","3","11.233","26,7"
"São José da Tapera (AL)","AL","8","29.960","26,7"
"Santana do Deserto (MG)","MG","1","3.749","26,7"
"Redenção da Serra (SP)","SP","1","3.750","26,7"
"Coronel Bicaco (RS)","RS","2","7.501","26,7"
"Sete Lagoas (MG)","MG","56","210.228","26,6"
"Ferreiros (PE)","PE","3","11.267","26,6"
"São José do Divino (MG)","MG","1","3.756","26,6"
"Colares (PA)","PA","3","11.269","26,6"
"Ibateguara (AL)","AL","4","15.035","26,6"
"Bom Jesus da Penha (MG)","MG","1","3.762","26,6"
"Limeira (SP)","SP","72","270.893","26,6"
"Florianópolis (SC)","SC","109","410.472","26,6"
"Itaporanga d'Ajuda (SE)","SE","8","30.148","26,5"
"Cumbe (SE)","SE","1","3.769","26,5"
"Potirendaba (SP)","SP","4","15.085","26,5"
"Japeri (RJ)","RJ","25","94.286","26,5"
"Maurilândia (GO)","GO","3","11.345","26,4"
"Viana (ES)","ES","17","64.373","26,4"
"João Monlevade (MG)","MG","19","71.983","26,4"
"Guapirama (PR)","PR","1","3.789","26,4"
