"Municípios","UF","Número de Internações","População","Taxa a cada 100 mil hab."
"Cocalinho (MT)","MT","16","5.395","296,6"
"Cipotânea (MG)","MG","19","6.411","296,4"
"Avelinópolis (GO)","GO","7","2.363","296,2"
"Lajedo do Tabocal (BA)","BA","24","8.108","296,0"
"São Marcos (RS)","RS","58","19.636","295,4"
"Campina das Missões (RS)","RS","17","5.757","295,3"
"Chavantes (SP)","SP","35","11.871","294,8"
"São Gabriel (RS)","RS","173","58.706","294,7"
"Arenápolis (MT)","MT","30","10.181","294,7"
"Eldorado (MS)","MS","34","11.545","294,5"
"Encruzilhada (BA)","BA","64","21.732","294,5"
"Orizânia (MG)","MG","21","7.131","294,5"
"São Valentim do Sul (RS)","RS","6","2.041","294,0"
"Santo Antônio de Pádua (RJ)","RJ","116","39.464","293,9"
"Neves Paulista (SP)","SP","25","8.507","293,9"
"Augusto Pestana (RS)","RS","20","6.807","293,8"
"Curiúva (PR)","PR","40","13.617","293,8"
"Tuparetama (PE)","PE","23","7.844","293,2"
"Barbosa Ferraz (PR)","PR","36","12.287","293,0"
"Jequitinhonha (MG)","MG","69","23.581","292,6"
"Roca Sales (RS)","RS","29","9.927","292,1"
"Timbé do Sul (SC)","SC","15","5.138","291,9"
"Morro do Chapéu (BA)","BA","99","33.938","291,7"
"Delmiro Gouveia (AL)","AL","140","48.013","291,6"
"Pitanga (PR)","PR","93","31.911","291,4"
"Salto Grande (SP)","SP","25","8.584","291,2"
"Teixeirópolis (RO)","RO","14","4.818","290,6"
"Barracão (RS)","RS","15","5.165","290,4"
"Divinópolis do Tocantins (TO)","TO","18","6.203","290,2"
"Brejinho (PE)","PE","21","7.250","289,7"
"Resplendor (MG)","MG","48","16.599","289,2"
"São João do Cariri (PB)","PB","12","4.156","288,7"
"Rio dos Índios (RS)","RS","10","3.466","288,5"
"Ibituruna (MG)","MG","8","2.774","288,4"
"Wenceslau Braz (PR)","PR","54","18.772","287,7"
"Coxixola (PB)","PB","5","1.739","287,5"
"Ipira (SC)","SC","13","4.531","286,9"
"Rancho Alegre D'Oeste (PR)","PR","8","2.789","286,8"
"Buriti dos Lopes (PI)","PI","54","18.849","286,5"
"Marcelândia (MT)","MT","34","11.876","286,3"
"Aurora (CE)","CE","69","24.106","286,2"
"Calumbi (PE)","PE","16","5.591","286,2"
"Guidoval (MG)","MG","20","6.991","286,1"
"Peixe (TO)","TO","29","10.145","285,9"
"Presidente Venceslau (SP)","SP","106","37.098","285,7"
"Campo do Tenente (PR)","PR","20","7.006","285,5"
"Eldorado do Carajás (PA)","PA","90","31.536","285,4"
"Cerqueira César (SP)","SP","49","17.185","285,1"
"Pacaembu (SP)","SP","37","12.991","284,8"
"Teodoro Sampaio (SP)","SP","60","21.104","284,3"
"Porto Xavier (RS)","RS","29","10.204","284,2"
"São Jerônimo (RS)","RS","61","21.469","284,1"
"Irará (BA)","BA","76","26.767","283,9"
"Passa Quatro (MG)","MG","43","15.149","283,8"
"Caiapônia (GO)","GO","46","16.219","283,6"
"Buerarema (BA)","BA","51","18.000","283,3"
"Poloni (SP)","SP","15","5.297","283,2"
"Maiquinique (BA)","BA","25","8.849","282,5"
"Tupã (SP)","SP","175","62.025","282,1"
"Sagrada Família (RS)","RS","7","2.486","281,6"
"Ibiassucê (BA)","BA","30","10.658","281,5"
"Coqueiro Baixo (RS)","RS","4","1.423","281,1"
"Santa Maria Madalena (RJ)","RJ","28","9.964","281,0"
"Pedra Dourada (MG)","MG","6","2.137","280,8"
"Oeiras (PI)","PI","99","35.357","280,0"
"Presidente Bernardes (SP)","SP","37","13.223","279,8"
"Mariópolis (PR)","PR","17","6.085","279,4"
"Ivolândia (GO)","GO","7","2.507","279,2"
"Ribeirão Claro (PR)","PR","29","10.402","278,8"
"Guaçuí (ES)","ES","76","27.292","278,5"
"Santa Fé de Goiás (GO)","GO","13","4.675","278,1"
"Joaquim Távora (PR)","PR","29","10.441","277,8"
"Santana da Boa Vista (RS)","RS","22","7.935","277,3"
"Iracema do Oeste (PR)","PR","7","2.525","277,2"
"Taquari (RS)","RS","70","25.328","276,4"
"Vitória de Santo Antão (PE)","PE","351","127.021","276,3"
"Mampituba (RS)","RS","8","2.901","275,8"
"Nova Veneza (GO)","GO","22","7.981","275,7"
"Terra Rica (PR)","PR","41","14.890","275,4"
"Juti (MS)","MS","16","5.813","275,2"
"Conceição do Almeida (BA)","BA","48","17.455","275,0"
"Cordeiros (BA)","BA","22","8.005","274,8"
"Iporã (PR)","PR","40","14.573","274,5"
"Loreto (MA)","MA","31","11.297","274,4"
"Canguçu (RS)","RS","141","51.408","274,3"
"Novo Horizonte (BA)","BA","29","10.575","274,2"
"Cássia (MG)","MG","46","16.778","274,2"
"Cajuru (SP)","SP","63","22.998","273,9"
"Jiquiriçá (BA)","BA","38","13.873","273,9"
"Itambaracá (PR)","PR","18","6.573","273,8"
"Getulina (SP)","SP","29","10.596","273,7"
"Matelândia (PR)","PR","43","15.721","273,5"
"Caravelas (BA)","BA","56","20.521","272,9"
"Viçosa (AL)","AL","69","25.309","272,6"
"Duas Barras (RJ)","RJ","29","10.640","272,6"
"Dom Pedrito (RS)","RS","103","37.807","272,4"
"Arapoema (TO)","TO","18","6.631","271,5"
"Luz (MG)","MG","46","16.955","271,3"
"Nova Castilho (SP)","SP","3","1.106","271,2"
"Elísio Medrado (BA)","BA","21","7.745","271,1"
"Candeias (MG)","MG","38","14.018","271,1"
"General Salgado (SP)","SP","28","10.368","270,1"
"Santana dos Montes (MG)","MG","10","3.710","269,5"
"Abaeté (MG)","MG","59","21.966","268,6"
"São João Evangelista (MG)","MG","41","15.266","268,6"
"Arco-Íris (SP)","SP","5","1.867","267,8"
"Araguaçu (TO)","TO","23","8.589","267,8"
"Belém (PB)","PB","45","16.820","267,5"
"Orizona (GO)","GO","37","13.836","267,4"
"Santa Margarida do Sul (RS)","RS","6","2.246","267,1"
"Itajuípe (BA)","BA","55","20.593","267,1"
"Cambuci (RJ)","RJ","39","14.609","267,0"
"Santa Helena de Goiás (GO)","GO","95","35.619","266,7"
"Fervedouro (MG)","MG","27","10.136","266,4"
"Ribeirão Branco (SP)","SP","48","18.042","266,0"
"Pedro Osório (RS)","RS","20","7.523","265,9"
"Passa Tempo (MG)","MG","21","7.917","265,3"
"Nova Bréscia (RS)","RS","8","3.016","265,3"
"Ibirapitanga (BA)","BA","59","22.263","265,0"
"Nova Esperança (PR)","PR","69","26.040","265,0"
"Taquaral de Goiás (GO)","GO","9","3.397","264,9"
"Bandeirantes (PR)","PR","83","31.358","264,7"
"Caiuá (SP)","SP","13","4.915","264,5"
"Simolândia (GO)","GO","17","6.440","264,0"
"Virgínia (MG)","MG","22","8.340","263,8"
"Barra Funda (RS)","RS","6","2.278","263,4"
"São Simão (SP)","SP","37","14.059","263,2"
"Volta Grande (MG)","MG","13","4.940","263,2"
"Rialma (GO)","GO","27","10.277","262,7"
"Itagibá (BA)","BA","40","15.226","262,7"
